bugtest,angle,count,time,delta,change,struggling,halfrep
NaN,328.15661621603726,0.5,14.011532068252563,neutral,False,False,False
NaN,328.15661621603726,0.5,14.066108226776123,neutral,False,False,False
NaN,328.15661621603726,0.5,14.0690438747406,neutral,False,False,False
NaN,330.5126654230848,0.5,14.153647184371948,neutral,False,False,False
NaN,334.06684427967315,0.5,14.25049114227295,neutral,False,False,False
NaN,334.6404552480646,0.5,14.340656042098999,neutral,False,False,False
NaN,333.7396254391465,0.5,14.398870944976807,neutral,False,False,False
NaN,334.0853120469854,0.5,14.465029001235962,neutral,False,False,False
NaN,335.41019198710904,0.5,14.534034252166748,neutral,False,False,False
NaN,335.8280498608802,0.5,14.599283933639526,neutral,False,False,False
NaN,336.5617774081226,0.5,14.665416955947876,neutral,False,False,False
NaN,337.91282839677166,0.5,14.73193907737732,neutral,False,False,False
NaN,340.4522658098434,0.5,14.798586130142212,neutral,False,False,False
NaN,340.25792029120754,0.5,14.864577054977417,neutral,False,False,False
NaN,339.0151406052,0.5,14.930995225906372,neutral,False,False,False
NaN,340.048759870539,0.5,14.997911930084229,neutral,False,False,False
NaN,344.49225836072213,0.5,15.064313173294067,neutral,False,False,False
NaN,342.3115337517672,0.5,15.132840156555176,neutral,False,False,False
NaN,10.708762170898218,1.0,15.208554983139038,neutral,False,False,False
NaN,342.8521106704953,1.5,15.274129152297974,neutral,False,False,False
NaN,315.9028673448151,1.5,15.336297988891602,neutral,True,False,False
NaN,294.79054282451955,1.5,15.499855995178223,neutral,False,False,False
NaN,289.25181985443095,1.5,15.56490707397461,neutral,False,False,False
NaN,283.5731314967804,1.5,15.634222030639648,decreasing,False,False,False
NaN,278.46982414595425,1.5,15.697932958602905,decreasing,False,False,False
NaN,271.7979892222403,1.5,15.765882015228271,decreasing,False,False,False
NaN,265.39095591189226,1.5,15.831055164337158,decreasing,False,False,False
NaN,258.8171143185623,1.5,15.897525072097778,decreasing,False,False,False
NaN,256.17998662550605,1.5,15.965929985046387,decreasing,False,False,False
NaN,259.9184437608603,1.5,16.03237819671631,decreasing,False,False,False
NaN,263.1562965851719,1.5,16.097989082336426,neutral,False,False,False
NaN,267.82546342766034,1.5,16.165374994277954,neutral,False,False,False
NaN,273.51776278376036,1.5,16.23049306869507,neutral,False,False,False
NaN,289.27637460175225,1.5,16.297636032104492,neutral,False,False,False
NaN,302.48022769854225,1.5,16.364601135253906,neutral,False,False,False
NaN,318.4816650422708,1.5,16.443303108215332,increasing,False,False,False
NaN,325.1161246514034,1.5,16.534780025482178,increasing,False,False,False
NaN,326.4622673122781,1.5,16.59808611869812,increasing,False,False,False
NaN,328.61141714616963,1.5,16.66495108604431,increasing,False,False,False
NaN,331.55408842640605,1.5,16.730502128601074,neutral,False,False,False
NaN,336.37096129494955,1.5,16.79865598678589,neutral,False,False,False
NaN,337.8465106139507,1.5,16.864439964294434,neutral,False,False,False
NaN,339.4290986820285,1.5,16.93225383758545,neutral,False,False,False
NaN,339.6679717279746,1.5,16.99683904647827,neutral,False,False,False
NaN,341.1504714574651,1.5,17.064242124557495,neutral,False,False,False
NaN,344.2404687025268,1.5,17.130072116851807,neutral,False,False,False
NaN,346.29778743228746,1.5,17.196733236312866,neutral,False,False,False
NaN,345.94826829131205,1.5,17.263861894607544,neutral,False,False,False
NaN,345.2138542552219,1.5,17.33126187324524,neutral,False,False,False
NaN,344.46583680638946,1.5,17.397128105163574,neutral,False,False,False
